# libc6-sha1;package_name;main_arena_offset
36b9f3ddbd263badcf5eb75976ad8b10101989ed;libc6_2.10.1-0ubuntu15_amd64;1315744
61bedc8c63d08b31e6fb972d86d8f355368afeaf;libc6_2.10.1-0ubuntu15_i386;3477056
2b70048f8cf68e1d0682ea77aaf485bcdd15eaa1;libc6_2.10.1-0ubuntu19_amd64;1319840
15ecf5c58e8749650d5fe5d641f77f3a0fffab16;libc6_2.10.1-0ubuntu19_i386;3477056
8922d35c501e3af896c5d1350a9b8e26a61a6432;libc6_2.11.1-0ubuntu7.11_amd64;1430464
c62cf32ec86b224f06780308ac7065de73c2de69;libc6_2.11.1-0ubuntu7.11_i386;3554880
9bca111513d3b027833b2a038f3a070df8427c65;libc6_2.11.1-0ubuntu7.12_amd64;1430464
e518ebab834a11374dd583808ba21fc2646a8e89;libc6_2.11.1-0ubuntu7.12_i386;3554880
71fff5beca2cf9a5a40f5c4541eee0e8ae782181;libc6_2.11.1-0ubuntu7.21_amd64;1438656
5ff80f9917dd9349ba9b92e775667d4631ecea6a;libc6_2.11.1-0ubuntu7.21_i386;3563040
a52f52b6acf0028d493a1269e72c5b51ce6a5d0b;libc6_2.11.1-0ubuntu7_amd64;1405888
fa4cfcac618c3f08e02d47f1fb0e3237c517f759;libc6_2.11.1-0ubuntu7_i386;3534400
3d9cb5aa0c5ea225bfa7138dc92d86460196bdc2;libc6_2.12.1-0ubuntu10.4_amd64;1409984
a58a3d4244cc6fcb6beeb84c0a57ea8411d1de3a;libc6_2.12.1-0ubuntu10.4_i386;3542592
eb2750e30d5d3e28c25cdae280c6169595f3ecc1;libc6_2.12.1-0ubuntu6_amd64;1405888
2e2046d5e8fb4ccc18f7fdf1a4dd076bf2333417;libc6_2.12.1-0ubuntu6_i386;3542592
365ae36d14159fd1ce8ec70b1f74455a75ce0801;libc6_2.13-0ubuntu13.2_amd64;1446848
2ec5e8ddaf0b9dfb871b20d7435761c579a92990;libc6_2.13-0ubuntu13.2_i386;3632832
e2d230f6d2abe156c1d28cab168b264db76f7edd;libc6_2.13-0ubuntu13_amd64;1418176
9e3d6c0a79b88fbbf4551ca108d24b40dcb21379;libc6_2.13-0ubuntu13_i386;3620544
a524b848a1f465bad91738ceeadaa5f9ccb04243;libc6_2.13-20ubuntu5.2_amd64;1557504
614a18b4ca4fd5a439f6ad73fd5c444986c4067d;libc6_2.13-20ubuntu5.2_i386;3698336
735764064f2581de9c2e90a0eda10506eec899ee;libc6_2.13-20ubuntu5.3_amd64;1557504
b4a7ed200205a689ba566caa45e6ebf810c62884;libc6_2.13-20ubuntu5.3_i386;3698336
8e9230e5528bac81d652c768579ba15d2192cac0;libc6_2.13-20ubuntu5_amd64;1537024
5185ad0d7493fc9b0db01e86cbe8358550e48c0d;libc6_2.13-20ubuntu5_i386;3681952
33576e7ca235a96d7ed5e8fca3be8c0c66025234;libc6_2.15-0ubuntu10.18_amd64;3909408
88e20edf0fb663588885ac8353f55a91a1d8d0c3;libc6_2.15-0ubuntu10.18_i386;1737792
2a7444c1d68b26ab52a4fe618dc7838cbe3cabdc;libc6_2.15-0ubuntu10_amd64;3893024
80e3b0ea3a383d4007a8f611ad93159b5a42cede;libc6_2.15-0ubuntu10_i386;1709120
003f451b149ffdd8abd965925b21dee689cb8187;libc6_2.15-0ubuntu20.2_amd64;3905344
3cfce2c961648e77ecc939df3613d1e0ce23ae6a;libc6_2.15-0ubuntu20.2_i386;1733696
944232d2fcbac7fdf43aad72d00b8b78ad33580b;libc6_2.15-0ubuntu20_amd64;3901248
2557639f4bee2ca8001470924f3aaaae4b6d39b0;libc6_2.15-0ubuntu20_i386;1729600
4cf5b83616c1bfcec9d73d2a915df4a9b7495415;libc6_2.17-0ubuntu5.1_amd64;3942208
82f6933772a5851abdd6cb20736049693a4bc798;libc6_2.17-0ubuntu5.1_i386;1770560
416033efba1d673d76a6f3417cbb446a206f7f5f;libc6_2.17-0ubuntu5_amd64;3938112
f18b69f7c18621f4bf8def01fb8c91d84a38e0cd;libc6_2.17-0ubuntu5_i386;1766464
3063ffe7ef4642d942907381d9c7690803aa528e;libc6_2.17-93ubuntu4_amd64;3938112
9054f5cb7969056b6816b1e2572f2506370940c4;libc6_2.17-93ubuntu4_i386;1770560
c1c244d5e4862e2515317133439adae59bd62ce6;libc6_2.19-0ubuntu6.14_amd64;3942240
ad75e6f24a0a289f39df1e3da977805003e6639e;libc6_2.19-0ubuntu6.14_i386;1758240
